run_date,notebooks_collected,notebooks_parsed,parse_success_rate,repos_contributing,strata_sampled,notebook_size_index_mean,notebook_size_index_median,narrative_index_mean,narrative_index_median,reproducibility_score_mean,reproducibility_score_median,visualization_density_mean,visualization_density_median,interactive_widget_score_mean,interactive_widget_score_median,scientific_computing_score_mean,scientific_computing_score_median,ml_usage_score_mean,ml_usage_score_median,complexity_score_mean,complexity_score_median,educational_score_mean,educational_score_median,documentation_density_mean,documentation_density_median,mean_total_cells,median_total_cells,mean_code_cells,mean_markdown_cells,mean_total_lines,mean_imports,mean_outputs,pct_with_output,pct_executed_in_order,pct_with_widgets,pyver_3_7_pct,pyver_3_8_pct,pyver_3_11_pct,pyver_3_6_pct,pyver_3_10_pct,pyver_3_9_pct,pyver_2_7_pct,pyver_3_5_pct,pyver_3_13_pct,pyver_3_12_pct,pyver_3_14_pct,pyver_3_1_pct,pct_with_python_version,mean_nbformat,pct_nbformat_4,pyver_3_4_pct,pyver_0_4_pct,collection_type,pyver_1_7_pct,pyver_3_3_pct,pyver_0_6_pct,pyver_7_0_pct,pyver_5_26_pct,pyver_1_6_pct,pyver_5_18_pct,pyver_3_2_pct,pyver_4_2_pct,pyver_4_5_pct,pyver_4_4_pct,pyver_1_8_pct,pyver_1_3_pct,pyver_8_0_pct,pyver_3_0_pct,pyver_1_12_pct,pyver_4_1_pct,pyver_9_0_pct,pyver_0_5_pct,pyver_2_11_pct,pyver_1_2_pct,pyver_1_9_pct,pyver_1_10_pct,pyver_20_18_pct,pyver_16_13_pct,pyver_4_3_pct,pyver_2_13_pct,pyver_9_8_pct,pyver_8_10_pct,pyver_1_1_pct,pyver_5_1_pct,pyver_1_4_pct,pyver_1_5_pct,pyver_0_12_pct,pyver_0_14_pct,pyver_11_1_pct,pyver_4_13_pct,pyver_4_11_pct,pyver_1_11_pct,pyver_0_3_pct,pyver_5_8_pct,pyver_4_0_pct,pyver_1_0_pct,pyver_5_9_pct,pyver_2_12_pct,pyver_2_4_pct,pyver_2_2_pct,pyver_12_0_pct,pyver_8_2_pct
2026-07-14,400,400,1.0,112,7,0.4487,0.426,0.3898,0.4107,0.7107,0.8014,0.3684,0.4324,0.031,0.0,0.3854,0.5,0.2195,0.2,0.4316,0.4194,0.4941,0.5595,0.2279,0.1804,33.047,22.0,18.93,14.035,322.062,5.793,14.14,0.7225,0.2175,0.04,6.6,7.86,9.12,12.58,19.18,12.58,5.35,5.97,8.81,9.75,1.57,,0.795,3.985,0.985,,,daily,,,,,,,,,,,,,,,,0.31,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,400,399,0.9975,123,7,0.3921,0.359,0.3032,0.2571,0.733,0.8007,0.3761,0.5,0.019,0.0,0.3741,0.5,0.2015,0.0,0.4007,0.403,0.3769,0.3377,0.1938,0.1091,30.92,21.0,20.684,10.153,212.521,5.591,12.657,0.807,0.203,0.0226,9.76,14.02,12.2,11.59,9.45,14.33,12.5,4.27,2.74,4.57,0.3,,0.8221,3.985,0.985,2.74,0.61,daily,,,0.3,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16,400,399,0.9975,119,7,0.4176,0.4113,0.3537,0.3557,0.7345,0.8,0.3809,0.5,0.0374,0.0,0.407,0.5,0.2065,0.0,0.4143,0.4088,0.4433,0.4753,0.2177,0.1232,30.188,22.0,18.158,12.005,265.767,5.677,16.659,0.8195,0.2857,0.0551,9.91,7.74,7.43,16.41,12.69,9.29,17.96,6.5,3.1,3.41,2.17,,0.8095,3.995,0.995,0.31,,daily,0.62,0.31,,,,0.62,,,,,,,,,,,0.31,,,,,0.31,0.31,0.31,0.31,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17,400,400,1.0,121,7,0.4222,0.3871,0.352,0.3367,0.7583,0.8132,0.4367,0.5,0.022,0.0,0.4399,0.5,0.191,0.0,0.4185,0.426,0.4205,0.4345,0.2155,0.1305,37.328,21.0,22.468,14.81,264.12,5.843,30.438,0.8125,0.3,0.0325,18.79,10.69,10.98,12.43,6.65,10.69,13.01,4.34,1.73,4.05,3.18,,0.865,3.995,0.995,0.87,,daily,,,,,,,,,,,0.87,,,1.45,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,
2026-07-18,400,400,1.0,115,6,0.3974,0.3594,0.3706,0.3821,0.7283,0.8061,0.3465,0.1968,0.0339,0.0,0.3724,0.5,0.2185,0.0,0.3912,0.3893,0.46,0.5045,0.2376,0.1783,31.29,20.5,18.315,12.938,237.475,5.51,12.32,0.75,0.245,0.04,10.03,9.73,9.12,23.1,11.55,10.33,7.9,5.47,1.82,10.33,0.3,,0.8225,3.987,0.9875,,,daily,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19,400,399,0.9975,122,7,0.3985,0.3621,0.3127,0.3066,0.7573,0.8041,0.3883,0.5,0.0212,0.0,0.4246,0.5,0.218,0.0,0.4225,0.4131,0.4076,0.4034,0.1927,0.0904,32.975,19.0,20.609,12.318,278.373,5.677,23.489,0.8546,0.2381,0.0201,14.87,11.08,8.16,18.37,12.83,11.66,7.0,2.33,4.08,5.25,0.87,0.58,0.8596,4.0,1.0,1.46,,daily,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20,400,399,0.9975,105,7,0.3992,0.369,0.3821,0.3912,0.7026,0.7921,0.3921,0.5,0.0204,0.0,0.389,0.5,0.1825,0.0,0.3954,0.3946,0.4443,0.4959,0.2533,0.1804,29.544,19.0,17.128,12.366,273.283,5.627,12.589,0.7243,0.2206,0.0175,21.15,8.97,4.49,22.76,6.41,14.74,8.01,2.88,4.17,4.81,0.32,,0.782,3.985,0.985,1.28,,daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,400,396,0.99,114,7,0.4324,0.419,0.3525,0.371,0.7576,0.8054,0.4451,0.5,0.0599,0.0,0.4485,0.5,0.2354,0.2,0.4441,0.471,0.4504,0.5136,0.2196,0.1384,31.477,23.0,20.106,11.356,308.306,6.606,16.295,0.8005,0.2854,0.0732,11.59,21.95,8.54,14.02,12.8,7.93,9.45,0.91,2.74,3.35,2.13,,0.8283,4.0,1.0,,,daily,,,,,,0.61,,,,,,0.91,,,,,,,,,,,,,,,1.52,0.91,0.61,,,,,,,,,,,,,,,,,,,,
2026-07-22,400,400,1.0,101,7,0.4196,0.389,0.3959,0.3989,0.7129,0.7926,0.3754,0.5,0.0628,0.0,0.3667,0.5,0.2345,0.4,0.4052,0.4086,0.4844,0.5465,0.261,0.185,31.905,22.0,18.815,13.085,264.38,5.965,12.688,0.745,0.1875,0.0475,18.58,8.26,10.32,14.75,11.5,13.86,4.13,4.72,2.06,9.73,,,0.8475,3.987,0.9825,,,daily,0.59,0.29,0.29,,,,,,,,,0.59,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,400,398,0.995,120,7,0.415,0.4004,0.3441,0.3354,0.7279,0.8034,0.3396,0.1106,0.0354,0.0,0.3578,0.5,0.1854,0.0,0.399,0.3971,0.428,0.4521,0.2398,0.1407,33.721,23.5,21.251,12.367,374.241,5.377,18.113,0.8317,0.191,0.0377,15.76,9.39,10.0,14.24,10.3,9.09,8.18,2.73,6.67,10.0,0.61,0.3,0.8291,3.987,0.9874,,,daily,0.3,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,
