run_date,library,category,notebook_count,adoption_pct,collection_type
2024-01-01,panel,notebook_tech,0,0.0,cohort
2024-01-01,papermill,notebook_tech,0,0.0,cohort
2024-01-01,plotly,plotting,5,4.274,cohort
2024-01-01,plotnine,plotting,0,0.0,cohort
2024-01-01,polars,array,0,0.0,cohort
2024-01-01,pyarrow,data_io,0,0.0,cohort
2024-01-01,pytorch,deep_learning,25,21.368,cohort
2024-01-01,pytorch_lightning,deep_learning,0,0.0,cohort
2024-01-01,quarto,notebook_tech,0,0.0,cohort
2024-01-01,requests,data_io,9,7.692,cohort
2024-01-01,scikit_learn,ml,23,19.658,cohort
2024-01-01,scipy,scientific,10,8.547,cohort
2024-01-01,seaborn,plotting,25,21.368,cohort
2024-01-01,sqlalchemy,data_io,0,0.0,cohort
2024-01-01,statsmodels,scientific,3,2.564,cohort
2024-01-01,streamlit,interactive,2,1.709,cohort
2024-01-01,sympy,scientific,0,0.0,cohort
2024-01-01,tensorflow,deep_learning,11,9.402,cohort
2024-01-01,transformers,deep_learning,9,7.692,cohort
2024-01-01,voila,notebook_tech,0,0.0,cohort
2024-01-01,xgboost,ml,2,1.709,cohort
2025-01-01,altair,plotting,0,0.0,cohort
2025-01-01,anthropic,llm,0,0.0,cohort
2025-01-01,anywidget,interactive,0,0.0,cohort
2025-01-01,bokeh,plotting,0,0.0,cohort
2025-01-01,dask,data_io,3,2.564,cohort
2025-01-01,duckdb,data_io,0,0.0,cohort
2025-01-01,holoviews,plotting,0,0.0,cohort
2025-01-01,ipyleaflet,interactive,0,0.0,cohort
2025-01-01,ipywidgets,interactive,0,0.0,cohort
2025-01-01,jax,deep_learning,0,0.0,cohort
2025-01-01,jupyter_ai,llm,0,0.0,cohort
2025-01-01,keras,deep_learning,2,1.709,cohort
2025-01-01,langchain,llm,5,4.274,cohort
2025-01-01,lightgbm,ml,0,0.0,cohort
2025-01-01,llamaindex,llm,0,0.0,cohort
2025-01-01,marimo,notebook_tech,0,0.0,cohort
2025-01-01,matplotlib,plotting,61,52.137,cohort
2025-01-01,nbconvert,notebook_tech,0,0.0,cohort
2025-01-01,numpy,array,70,59.829,cohort
2025-01-01,openai,llm,5,4.274,cohort
2025-01-01,pandas,array,45,38.462,cohort
2025-01-01,panel,notebook_tech,0,0.0,cohort
2025-01-01,papermill,notebook_tech,0,0.0,cohort
2025-01-01,plotly,plotting,2,1.709,cohort
2025-01-01,plotnine,plotting,0,0.0,cohort
2025-01-01,polars,array,0,0.0,cohort
2025-01-01,pyarrow,data_io,0,0.0,cohort
2025-01-01,pytorch,deep_learning,24,20.513,cohort
2025-01-01,pytorch_lightning,deep_learning,0,0.0,cohort
2025-01-01,quarto,notebook_tech,0,0.0,cohort
2025-01-01,requests,data_io,4,3.419,cohort
2025-01-01,scikit_learn,ml,24,20.513,cohort
2025-01-01,scipy,scientific,11,9.402,cohort
2025-01-01,seaborn,plotting,21,17.949,cohort
2025-01-01,sqlalchemy,data_io,0,0.0,cohort
2025-01-01,statsmodels,scientific,2,1.709,cohort
2025-01-01,streamlit,interactive,0,0.0,cohort
2025-01-01,sympy,scientific,0,0.0,cohort
2025-01-01,tensorflow,deep_learning,4,3.419,cohort
2025-01-01,transformers,deep_learning,3,2.564,cohort
2025-01-01,voila,notebook_tech,0,0.0,cohort
2025-01-01,xgboost,ml,2,1.709,cohort
2026-01-01,altair,plotting,0,0.0,cohort
2026-01-01,anthropic,llm,0,0.0,cohort
2026-01-01,anywidget,interactive,0,0.0,cohort
2026-01-01,bokeh,plotting,0,0.0,cohort
2026-01-01,dask,data_io,0,0.0,cohort
2026-01-01,duckdb,data_io,0,0.0,cohort
2026-01-01,holoviews,plotting,0,0.0,cohort
2026-01-01,ipyleaflet,interactive,0,0.0,cohort
2026-01-01,ipywidgets,interactive,0,0.0,cohort
2026-01-01,jax,deep_learning,5,4.202,cohort
2026-01-01,jupyter_ai,llm,0,0.0,cohort
2026-01-01,keras,deep_learning,0,0.0,cohort
2026-01-01,langchain,llm,2,1.681,cohort
2026-01-01,lightgbm,ml,1,0.84,cohort
2026-01-01,llamaindex,llm,0,0.0,cohort
2026-01-01,marimo,notebook_tech,0,0.0,cohort
2026-01-01,matplotlib,plotting,82,68.908,cohort
2026-01-01,nbconvert,notebook_tech,0,0.0,cohort
2026-01-01,numpy,array,85,71.429,cohort
2026-01-01,openai,llm,3,2.521,cohort
2026-01-01,pandas,array,80,67.227,cohort
2026-01-01,panel,notebook_tech,0,0.0,cohort
